Region,LifeForm,TaxonName,PresentStatus,FirstRecord
Spain,Insects,Psyllaephagus bliteus,established,2011
Canary Islands,Insects,Puto barberi,established,2009
Spain,Insects,Puto barberi,established,2009
Canary Islands,Insects,Reticulitermes flavipes ,alien,2010
Spain,Birds,Rhodospiza obsoleta,alien,2017
Spain,Algae,Rugulopteryx okamurae,alien,2015
Portugal,Algae,Rugulopteryx okamurae,alien,2021
Azores,Algae,Rugulopteryx okamurae,alien,2022
Portugal,Fishes,Rutilus rutilus,established,2007
Azores,Bryozoa,Schizoporella errata,,2013
Spain,Insects,Scyphophorus acupunctatus,established,2007
Spain,Insects,Sipha flava,alien,2014
Spain,Insects,Sophonia orientalis,alien,2009
Portugal,Crustaceans,Solidobalanus fallax,established,2015
Spain,Birds,Spatula hottentota,casual,2014
Portugal,Insects,Stenopelmus rufinasus,established,2011
Spain,Crustaceans,Stenothoe georgiana,,2010
Portugal,Insects,Strumigenys silvestrii,established,2009
Portugal,"Invertebrates (excl. Arthropods, Molluscs)",Styela plicata,established,2017
Spain,Mammals,Sus scrofa var. domestica raza vietnamita,,2007
Azores,Insects,Tapinoma melanocephalum,established,2014
Madeira,Insects,Tapinoma pallipes,established,2007
Portugal,Molluscs,Tenellia adspersa,alien,2016
Spain,Reptiles,Testudo marginata,established,2017
Portugal,Insects,Thaumastocoris peregrinus,alien,2012
Spain,Insects,Thaumastocoris peregrinus,alien,2015
Spain,Molluscs,Theora lubrica,alien,2010
Spain,Birds,Tockus deckeni,alien,2015
Spain,Reptiles,Trachemys emolli,alien,2011
Spain,Insects,Trachymela sloanei,alien,2014
Portugal,Birds,Vanellus senegallus,casual,2008
Spain,Reptiles,Varanus exanthematicus  ,,2011
Spain,Insects,Vespa bicolor,alien,2013
Spain,Insects,Vespa orientalis,alien,2012
Spain,Insects,Vespa soror,alien,2022
Portugal,Insects,Vespa velutina,established,2011
Spain,Insects,Vespa velutina,established,2011
Spain,Insects,Xylotrechus chinensis,alien,2013
Spain,Fishes,Zebrasoma flavescens,,2008
Spain,Birds,Zenaida meloda,casual,2011
Spain,Algae,Pyropia suborbiculata,established,2010
Spain,Crustaceans,Stenothoe georgiana,,2010
Portugal,Bryozoa,Celleporaria brunnea,,2012
Portugal,Insects,Penthimiola bella,,2012
Portugal,Bryozoa,Schizoporella errata,,2013
Portugal,Insects,Hercinothrips dimidiatus,,2014
Portugal,"Invertebrates (excl. Arthropods, Molluscs)",Molgula manhattensis,,2014
Portugal,Crustaceans,Paracerceis sculpta,,2014
Portugal,"Invertebrates (excl. Arthropods, Molluscs)",Ficopomatus enigmaticus,,2016
Spain,Crustaceans,Caprella mutica,,2013
Spain,Viruses,Maize chlorotic mottle virus,alien,2014
Portugal,Viruses,Sweet potato virus C,alien,2014
Spain,Birds,Synoicus chinensis,alien,2006
Spain,Viruses,Tomato leaf curl New Delhi virus,alien,2012
Spain,Viruses,Tomato mottle mosaic virus,alien,2015
Spain,Crustaceans,Candonocypris novaezelandiae,established,2006
Portugal,"Invertebrates (excl. Arthropods, Molluscs)",Dactylogyrus anchoratus,established,2016
Spain,Fungi,Phytophthora citricola,established,2006
Portugal,Bryozoa,Amathia verticillata,,2008
Spain,Molluscs,Rapana venosa,,2007
Spain,Molluscs,Tritia mutabilis,,2006
Spain,Insects,Harmonia axyridis,,2007
Spain,Birds,Psephotus haematonotus,alien,2006
Portugal,Vascular plants,Axonopus fissifolius,,2007
Spain,Algae,Didymosphenia geminata ,established,2008
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Pyura herdmani,alien,2015
Spain,Insects,Cydalima perspectalis,established,2014
Canary Islands,Insects,Xylocopa pubescens,alien,2020
Spain,Insects,Xylocopa pubescens,alien,2016
Spain,Insects,Megachile sculpturalis,established,2018
Canary Islands,Insects,Wasmannia auropunctata,established,2023
Spain,Insects,Wasmannia auropunctata,established,2018
Spain,Reptiles,Mauremys reevesii,alien,2016
Spain,Reptiles,Mauremys sinensis,alien,2014
Spain,Vascular plants,Ludwigia peploides,alien,2007
Spain,Reptiles,Pseudemys peninsularis ,alien,2020
Canary Islands,Insects,Spodoptera frugiperda,alien,2020
Madeira,Insects,Spodoptera frugiperda,alien,2023
Spain,Insects,Halyomorpha halys,alien,2016
Portugal,Insects,Halyomorpha halys,alien,2018
Madeira,Insects,Aedes aegypti,established,2006
Canary Islands,Insects,Aedes aegypti,alien,2017
Spain,Insects,Euwallacea fornicatus,alien,2024
Spain,Crustaceans,Procambarus virginalis ,alien,2022
Spain,Crustaceans,Cherax quadricarinatus ,alien,2013
Spain,Vascular plants,Hydrocharis laevigata,alien,2018
Spain,Viruses,Xylella fastidiosa,alien,2016
Spain,Viruses,Tobamovirus fructirugosum ,alien,2019
