video_id,created_at,viewCount,video_likeCount,comment_likeCount,commentCount,TaxonName,Region,LifeForm,PresentStatus,word,time_period,KeywordCategory,category,FirstRecord,FirstRecordDate,token_source,comment_id,parent_id,is_reply
video_000665,2019-04-15T17:26:19Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,gaiola,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_008923,comment_000001,FALSE
video_000665,2018-12-03T21:19:05Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,loja,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_005363,comment_000001,FALSE
video_000665,2018-12-03T09:19:27Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,loja,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_004683,comment_000001,FALSE
video_000665,2018-12-03T09:19:27Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,preco,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_004683,comment_000001,FALSE
video_000665,2018-12-02T19:28:39Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,comprar,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_013851,comment_000001,FALSE
video_000665,2018-12-02T00:45:00Z,23569,1506,3,107,Aratinga_jandaya,Spain,Birds,alien,aquarios,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_001961,comment_000001,FALSE
video_000665,2018-12-01T21:14:52Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,loja,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_007663,comment_000001,FALSE
video_013475,2025-03-08T23:31:10Z,454,10,0,3,Aratinga_jandaya,Spain,Birds,alien,precio,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_003250,comment_000001,FALSE
video_013475,2025-03-04T14:11:32Z,454,10,0,3,Aratinga_jandaya,Spain,Birds,alien,visto,Post-Introduction,Detection,Detection,2008,2008-06-01T12:00:00Z,comment,comment_006342,comment_000001,FALSE
video_002260,2017-11-28T08:52:33Z,1381,14,0,2,Balistoides_conspicillum,Spain,Fishes,uncertain,comprei,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T12:00:00Z,comment,comment_014331,comment_014330,TRUE
video_002260,2017-11-28T08:52:33Z,1381,14,0,2,Balistoides_conspicillum,Spain,Fishes,uncertain,aquario,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T12:00:00Z,comment,comment_014331,comment_014330,TRUE
video_006641,2023-10-22T23:29:46Z,17163,30,0,6,Belonochilus_numenius,Spain,Insects,established,plaga,Post-Introduction,Invasion,Invasion,2008,2008-06-01T12:00:00Z,comment,comment_010008,comment_000001,FALSE
video_006641,2023-10-22T23:29:46Z,17163,30,0,6,Belonochilus_numenius,Spain,Insects,established,visto,Post-Introduction,Detection,Detection,2008,2008-06-01T12:00:00Z,comment,comment_010008,comment_000001,FALSE
video_006641,2023-10-22T23:29:46Z,17163,30,0,6,Belonochilus_numenius,Spain,Insects,established,plaga,Post-Introduction,Invasion,Invasion,2008,2008-06-01T12:00:00Z,comment,comment_010008,comment_000001,FALSE
video_006641,2019-10-23T18:52:27Z,17163,30,1,6,Belonochilus_numenius,Spain,Insects,established,aparecieron,Post-Introduction,Detection,Detection,2008,2008-06-01T12:00:00Z,comment,comment_009447,comment_000001,FALSE
video_007897,2022-04-06T04:35:03Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_009978,comment_000001,FALSE
video_007897,2022-04-06T20:31:39Z,238,27,0,12,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_014218,comment_014217,TRUE
video_007897,2022-04-06T04:48:19Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_009979,comment_009978,TRUE
video_007897,2022-04-06T04:48:19Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_009979,comment_009978,TRUE
video_007897,2022-04-06T04:48:19Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,aparece,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_009979,comment_009978,TRUE
video_007897,2022-04-06T04:48:19Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_009979,comment_009978,TRUE
video_007897,2022-04-06T04:48:19Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_009979,comment_009978,TRUE
video_007897,2022-04-06T04:48:19Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_009979,comment_009978,TRUE
video_007897,2022-04-06T04:48:19Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,manejo,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_009979,comment_009978,TRUE
video_007897,2022-04-06T04:48:19Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,manejo,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_009979,comment_009978,TRUE
video_007897,2022-04-06T05:11:05Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,control,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_009981,comment_009978,TRUE
video_007897,2022-04-06T05:11:05Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,seguimiento,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_009981,comment_009978,TRUE
video_007897,2022-04-06T12:51:42Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,seguimiento,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_009982,comment_009978,TRUE
video_007897,2022-04-06T12:51:42Z,238,27,1,12,Bemisia_tabaci,Spain,Insects,alien,aparece,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_009982,comment_009978,TRUE
video_000661,2025-08-09T15:12:59Z,734486,21296,0,362,Bemisia_tabaci,Spain,Insects,alien,trampas,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_003791,comment_000001,FALSE
video_000661,2025-06-16T11:56:35Z,734486,21296,0,362,Bemisia_tabaci,Spain,Insects,alien,danino,Post-Introduction,Threat,Threat,2006,2006-06-01T12:00:00Z,comment,comment_010964,comment_000001,FALSE
video_000661,2025-06-10T03:09:21Z,734486,21296,0,362,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_014253,comment_000001,FALSE
video_000661,2025-06-10T03:09:21Z,734486,21296,0,362,Bemisia_tabaci,Spain,Insects,alien,control,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_014253,comment_000001,FALSE
video_000661,2024-02-22T02:22:56Z,734486,21296,0,362,Bemisia_tabaci,Spain,Insects,alien,trampas,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_013344,comment_000001,FALSE
video_000661,2023-08-29T20:07:21Z,734486,21296,0,362,Bemisia_tabaci,Spain,Insects,alien,peligro,Post-Introduction,Threat,Threat,2006,2006-06-01T12:00:00Z,comment,comment_008767,comment_000001,FALSE
video_000661,2023-08-29T20:07:21Z,734486,21296,0,362,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_008767,comment_000001,FALSE
video_000661,2023-07-07T11:49:11Z,734486,21296,0,362,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_007989,comment_000001,FALSE
